axis_id,symbol,candidate_count,n_passed,n_rejected,n_no_trades_generated,avg_trade_count,avg_net_bps
D,1000PEPEUSDT,64,0,64,52,2159.0625,-2.8067785400078047
D,1000SHIBUSDT,64,0,64,52,3622.515625,-2.8125125931386683
D,AAVEUSDT,64,0,64,52,4019.796875,-2.6534472170160273
D,AVAXUSDT,64,0,64,52,4022.6875,-2.8105434672816108
D,BNBUSDT,64,0,64,52,4485.53125,-2.8057446673727626
D,BTCUSDT,64,0,64,52,4745.6875,-2.7632883149803877
D,DOGEUSDT,64,0,64,52,4262.046875,-2.942153079292914
D,DOTUSDT,64,0,64,52,4144.5,-2.8394952807852762
D,ETHUSDT,64,0,64,52,4622.453125,-2.8690913735331387
D,FILUSDT,64,0,64,52,4095.0,-2.911621728141992
D,GALAUSDT,64,0,64,52,3239.0625,-2.829944098096924
D,LINKUSDT,64,0,64,52,4556.6875,-2.8647974149446513
D,SOLUSDT,64,0,64,52,3997.59375,-2.707562087272395
D,XRPUSDT,64,0,64,52,4590.1875,-2.7516658336165896
